iter	MAE	RMSE
0	3.87003078	4.648796314
1	3.550877771	4.299424483
2	3.264688148	3.9879974
3	3.012189775	3.714417951
4	2.782437796	3.461424808
5	2.577441005	3.226871887
6	2.398783393	3.029218492
7	2.233023051	2.838573774
8	2.092005442	2.6750183
9	1.968002368	2.523629659
10	1.859384055	2.393998682
11	1.764254069	2.280397974
12	1.678057763	2.176466472
13	1.604644792	2.088094727
14	1.543834227	2.012712253
15	1.4876746	1.938184573
16	1.443306725	1.882502906
17	1.399022629	1.826278441
18	1.363688763	1.778902727
19	1.328802677	1.732811345
20	1.296060879	1.68797293
21	1.269634763	1.652689586
22	1.249594531	1.62785379
23	1.22717817	1.598240819
24	1.207506885	1.57281992
25	1.19109029	1.551023039
26	1.178695673	1.533428081
27	1.166011481	1.516923612
28	1.155685951	1.50306184
29	1.145787098	1.489122462
30	1.136494803	1.477154561
31	1.128001205	1.466574774
32	1.119441313	1.454715342
33	1.112025399	1.444097974
34	1.106099459	1.435038429
35	1.100094387	1.426148651
36	1.094559289	1.417912056
37	1.08986224	1.411806578
38	1.085075315	1.405025608
39	1.078633844	1.396765425
40	1.073897388	1.390629804
41	1.070461569	1.386197295
42	1.067145322	1.381144447
43	1.060439317	1.372852357
44	1.057766554	1.368954911
45	1.053317628	1.362426201
46	1.04840703	1.355984036
47	1.044306072	1.350753033
48	1.040996612	1.347033327
49	1.038423753	1.343463208
50	1.035183904	1.338872384
51	1.032334549	1.334430136
52	1.028864544	1.330042616
53	1.025053464	1.325136564
54	1.02289058	1.321838695
55	1.021223665	1.319084816
56	1.018961166	1.315993666
57	1.016561769	1.312674322
58	1.01210352	1.307986559
59	1.010111842	1.304677145
60	1.007967258	1.301697312
61	1.005360646	1.298600515
62	1.002840132	1.294873419
63	1.001180896	1.292236684
64	0.9984743403	1.288360196
65	0.9966376742	1.285600441
66	0.9942314759	1.282526718
67	0.9920944836	1.279603174
68	0.9896614965	1.276344863
69	0.9869261166	1.27251174
70	0.9846139233	1.269496936
71	0.9808436558	1.264682749
72	0.9795768384	1.262611556
73	0.977333415	1.259405546
74	0.9757412803	1.25684028
75	0.9736081555	1.254596127
76	0.9722060874	1.252518366
77	0.9713214368	1.251227296
78	0.9699012515	1.249075597
79	0.9677524946	1.246552928
80	0.9665166965	1.244225109
81	0.9628405702	1.23996596
82	0.9608152329	1.237438032
83	0.9578231616	1.233482039
84	0.9552078882	1.230069124
85	0.9533511093	1.227742977
86	0.951497057	1.225588405
87	0.9493338196	1.222465098
88	0.9479838471	1.220042052
89	0.9463661577	1.217929155
90	0.9442897125	1.215213118
91	0.94260751	1.212931786
92	0.9395780377	1.209212249
93	0.9368000525	1.205948862
94	0.9337551693	1.202492036
95	0.9318111274	1.199990987
96	0.9297444139	1.197451652
