iter	Passed	Remaining
0	22	6694
1	41	6185
2	61	6073
3	79	5879
4	97	5752
5	115	5680
6	132	5550
7	160	5850
8	194	6292
9	214	6228
10	234	6161
11	252	6065
12	267	5911
13	283	5799
14	300	5715
15	314	5585
16	330	5494
17	345	5414
18	362	5359
19	377	5280
20	391	5197
21	407	5152
22	422	5083
23	437	5027
24	462	5086
25	475	5012
26	488	4934
27	499	4853
28	510	4773
29	527	4750
30	540	4691
31	552	4630
32	565	4576
33	579	4531
34	592	4485
35	606	4446
36	620	4407
37	634	4373
38	646	4325
39	658	4281
40	670	4235
41	683	4196
42	695	4155
43	707	4118
44	719	4077
45	732	4042
46	744	4009
47	756	3972
48	768	3937
49	780	3901
50	791	3865
51	803	3831
52	814	3797
53	826	3763
54	837	3731
55	849	3701
56	861	3673
57	873	3644
58	884	3614
59	898	3592
60	909	3564
61	930	3571
62	942	3543
63	953	3517
64	965	3490
65	976	3463
66	989	3442
67	1005	3430
68	1019	3413
69	1032	3392
70	1048	3381
71	1064	3369
72	1079	3356
73	1094	3344
74	1111	3333
75	1124	3315
76	1137	3295
77	1150	3275
78	1163	3255
79	1177	3239
80	1191	3220
81	1204	3203
82	1217	3183
83	1228	3160
84	1240	3137
85	1251	3115
86	1263	3093
87	1274	3071
88	1286	3049
89	1298	3030
90	1310	3009
91	1322	2989
92	1333	2967
93	1345	2948
94	1356	2928
95	1369	2910
96	1381	2890
97	1395	2876
98	1425	2893
99	1436	2872
100	1448	2853
101	1459	2833
102	1471	2813
103	1489	2807
104	1501	2787
105	1514	2771
106	1525	2751
107	1537	2734
108	1549	2715
109	1561	2697
110	1572	2678
111	1584	2659
112	1596	2642
113	1609	2625
114	1622	2610
115	1635	2594
116	1646	2575
117	1659	2559
118	1670	2540
119	1682	2523
120	1693	2505
121	1704	2487
122	1716	2469
123	1727	2452
124	1739	2435
125	1750	2417
126	1762	2400
127	1773	2383
128	1785	2366
129	1796	2349
130	1807	2332
131	1819	2315
132	1831	2300
133	1843	2283
134	1855	2267
135	1867	2251
136	1878	2235
137	1890	2219
138	1910	2212
139	1923	2197
140	1934	2181
141	1946	2166
142	1958	2149
143	1969	2134
144	1981	2118
145	1993	2102
146	2004	2086
147	2016	2070
148	2027	2055
149	2039	2039
150	2050	2023
151	2062	2008
152	2073	1992
153	2086	1978
154	2102	1967
155	2114	1951
156	2126	1936
157	2137	1921
158	2149	1905
159	2160	1890
160	2172	1875
161	2183	1860
162	2196	1846
163	2208	1831
164	2219	1816
165	2231	1801
166	2242	1785
167	2254	1771
168	2265	1756
169	2277	1741
170	2289	1727
171	2302	1713
172	2313	1698
173	2324	1683
174	2345	1675
175	2367	1667
176	2379	1653
177	2390	1638
178	2401	1623
179	2414	1609
180	2426	1595
181	2437	1580
182	2449	1565
183	2460	1551
184	2471	1536
185	2483	1522
186	2495	1507
187	2507	1493
188	2518	1479
189	2530	1465
190	2543	1451
191	2554	1437
192	2567	1423
193	2578	1408
194	2589	1394
195	2601	1380
196	2613	1366
197	2624	1352
198	2636	1338
199	2648	1324
200	2659	1310
201	2671	1296
202	2682	1281
203	2693	1267
204	2705	1253
205	2717	1239
206	2735	1229
207	2749	1215
208	2760	1202
209	2772	1188
210	2784	1174
211	2797	1161
212	2809	1147
213	2821	1134
214	2833	1120
215	2854	1110
216	2866	1096
217	2877	1082
218	2889	1068
219	2900	1054
220	2912	1041
221	2924	1027
222	2935	1013
223	2946	999
224	2958	986
225	2970	972
226	2981	958
227	2992	945
228	3004	931
229	3015	917
230	3027	904
231	3038	890
232	3049	877
233	3061	863
234	3073	850
235	3084	836
236	3096	823
237	3108	809
238	3120	796
239	3131	782
240	3143	769
241	3154	756
242	3166	742
243	3178	729
244	3189	716
245	3201	702
246	3212	689
247	3223	675
248	3235	662
249	3248	649
250	3297	643
251	3340	636
252	3378	627
253	3520	637
254	3679	649
255	3809	654
256	3983	666
257	4006	652
258	4027	637
259	4046	622
260	4066	607
261	4087	592
262	4107	577
263	4126	562
264	4146	547
265	4160	531
266	4174	516
267	4206	502
268	4221	486
269	4235	470
270	4250	454
271	4262	438
272	4278	423
273	4304	408
274	4318	392
275	4330	376
276	4342	360
277	4354	344
278	4367	328
279	4379	312
280	4391	296
281	4404	281
282	4415	265
283	4426	249
284	4438	233
285	4449	217
286	4461	202
287	4472	186
288	4485	170
289	4497	155
290	4509	139
291	4522	123
292	4533	108
293	4545	92
294	4556	77
295	4567	61
296	4578	46
297	4591	30
298	4603	15
299	4614	0
